KeyWords	topic
('work', 'location', 'follow', 'outbreak', 'describe')	109_employment_and_income
('worker', 'response', 'partner', 'work', 'classify')	109_employment_and_income
('agree', 'mean', 'work', 'scale', 'disagree')	109_employment_and_income
('spend', 'time', 'activity', 'outbreak', 'describe')	109_employment_and_income
('partner', 'month', 'following', 'outbreak', 'receive')	109_employment_and_income
('result', 'say', 'following', 'outbreak', 'compare')	109_employment_and_income
('detail', 'firm', 'describe', 'distribution', 'manufacturing')	109_employment_and_income
('month', 'outbreak', 'expect', 'situation', 'compare')	109_employment_and_income
('worker', 'classify', 'response', 'work')	109_employment_and_income
('situation', 'feel', 'outbreak', 'compare')	109_employment_and_income
('household', 'outbreak', 'food', 'begin')	109_employment_and_income
('contract', 'partner', 'hour', 'job')	109_employment_and_income
('manage', 'outbreak', 'month')	109_employment_and_income
('describe', 'job', 'word')	109_employment_and_income
('organisation', 'work', 'firm')	109_employment_and_income
('partner', 'following', 'claim')	109_employment_and_income
('partner', 'title', 'job')	109_employment_and_income
('describe', 'situation', 'outbreak')	109_employment_and_income
('contract', 'hour', 'job')	109_employment_and_income
('outbreak', 'help', 'compare')	109_employment_and_income
('thing', 'consider', 'job')	109_employment_and_income
('following', 'outbreak')	109_employment_and_income
('describe', 'situation')	109_employment_and_income
('describe', 'outbreak')	109_employment_and_income
('organisation', 'firm')	109_employment_and_income
('title', 'job')	109_employment_and_income
('outbreak', 'change')	109_employment_and_income
"('mean', 'scale', ""'"", 'trust', 'trusting')"	110_expectations,_attitudes_and_beliefs
('agree', 'statement', 'follow', 'disagree')	110_expectations,_attitudes_and_beliefs
('following', 'outbreak', 'trust', 'change')	110_expectations,_attitudes_and_beliefs
('event', 'month', 'item', 'indicate', 'happen')	11612_life_events_(cv19)
('event', 'partner', 'item', 'indicate', 'happen')	11612_life_events_(cv19)
('family', 'event', 'item', 'indicate', 'happen')	11612_life_events_(cv19)
('event', 'difficulty', 'item', 'indicate', 'happen')	11612_life_events_(cv19)
('event', 'injure', 'item', 'indicate', 'happen')	11612_life_events_(cv19)
('event', 'item', 'indicate', 'happen')	11612_life_events_(cv19)
('contact', 'email', 'hold', 'use', 'address')	115_administration
('future', 'contact', 'email', 'use', 'address')	115_administration
('allow', 'app', 'collect', 'covid-19', 'risk')	115_administration
('ask', 'survey')	115_administration
