KeyWords	topic
('type', 'arthritis')	103_physical_health
('follow', 'symptom')	103_physical_health
('coronavirus', 'test')	103_physical_health
('test', 'time')	103_physical_health
('answer', 'box', 'item', 'help', 'question')	104_mental_health_and_mental_processes
('come', 'thing', 'express', 'box', 'feel')	104_mental_health_and_mental_processes
('problem', 'result', 'time', 'feel', 'week')	104_mental_health_and_mental_processes
('sickness', 'stomach', 'lot', 'ache', 'headache')	104_mental_health_and_mental_processes
('teacher', 'child', 'volunteer', 'help', 'parent')	104_mental_health_and_mental_processes
('feel', 'thing', 'decision', 'make')	104_mental_health_and_mental_processes
('people', 'pick', 'bully', 'child')	104_mental_health_and_mental_processes
('fight', 'lot', 'want', 'people')	104_mental_health_and_mental_processes
('food', 'game', 'pen', 'share')	104_mental_health_and_mental_processes
('people', 'try', 'care', 'feeling')	104_mental_health_and_mental_processes
('feel', 'thing', 'play')	104_mental_health_and_mental_processes
('sleep', 'worry', 'lose')	104_mental_health_and_mental_processes
('activity', 'enjoy', 'day')	104_mental_health_and_mental_processes
('feel', 'thing', 'consider')	104_mental_health_and_mental_processes
('feel', 'overcome', 'difficulty')	104_mental_health_and_mental_processes
('situation', 'confidence', 'lose')	104_mental_health_and_mental_processes
('attention', 'finish', 'work')	104_mental_health_and_mental_processes
('find', 'distract', 'concentrate')	104_mental_health_and_mental_processes
('school', 'thing', 'home')	104_mental_health_and_mental_processes
('people', 'like', 'age')	104_mental_health_and_mental_processes
('cheat', 'accuse', 'lie')	104_mental_health_and_mental_processes
('people', 'age', 'adult')	104_mental_health_and_mental_processes
('problem', 'type')	104_mental_health_and_mental_processes
('confidence', 'lose')	104_mental_health_and_mental_processes
('problem', 'face')	104_mental_health_and_mental_processes
('person', 'think')	104_mental_health_and_mental_processes
('feel', 'week')	104_mental_health_and_mental_processes
('feel', 'strain')	104_mental_health_and_mental_processes
('feel', 'hurt')	104_mental_health_and_mental_processes
('lot', 'worry')	104_mental_health_and_mental_processes
('squirm', 'fidget')	104_mental_health_and_mental_processes
('lose', 'temper')	104_mental_health_and_mental_processes
('thing', 'think')	104_mental_health_and_mental_processes
('spend', 'day', 'time', 'activity', 'minute')	106_health_behaviour
('walk', 'day', 'time', 'think', 'minute')	106_health_behaviour
('tin', 'include', 'day', 'eat', 'week')	106_health_behaviour
('household', 'eat', 'think', 'food', 'week')	106_health_behaviour
('household', 'time', 'eat', 'think', 'week')	106_health_behaviour
('day', 'time', 'activity', 'total', 'week')	106_health_behaviour
('cigarette', 'smoke', 'include', '-', 'e')	106_health_behaviour
('access', 'household', 'meal', 'food', 'week')	106_health_behaviour
('alcohol', 'drink', 'week', 'think', 'contain')	106_health_behaviour
('activity', 'aerobics', 'bicycling', 'lifting', 'week')	106_health_behaviour
('beer', 'mean', 'measure', 'glass', 'week')	106_health_behaviour
('cigarette', 'smoke', 'include', 'day', 'roll')	106_health_behaviour
('school', 'wake', 'day', 'time', 'morning')	106_health_behaviour
('bed', 'day', 'habit', 'number', 'question')	106_health_behaviour
('include', 'day', 'eat', 'potato', 'portion')	106_health_behaviour
('apple', 'day', 'eat', 'fruit', 'portion')	106_health_behaviour
('day', 'eat', 'breakfast', 'question', 'week')	106_health_behaviour
('type', 'milk', 'use', 'tell')	106_health_behaviour
('e', '-', 'use', 'cigarette')	106_health_behaviour
('eat', 'type', 'bread')	106_health_behaviour
('drink', 'take', 'week')	106_health_behaviour
('sleep', 'trouble', 'month')	106_health_behaviour
('week', 'minute', 'walk')	106_health_behaviour
('sleep', 'school', 'time')	106_health_behaviour
('drink', 'day')	106_health_behaviour
('day', 'week')	106_health_behaviour
('fall', 'week')	106_health_behaviour
('sleep', 'month')	106_health_behaviour
('household', 'think', 'count', 'people', 'live')	107_family_and_social_networks
('family', 'friend', 'think', 'support', 'live')	107_family_and_social_networks
('age', 'household', 'people', 'help', 'live')	107_family_and_social_networks
('arrangement', 'include', 'household', 'people', 'live')	107_family_and_social_networks
('cohabitation', 'husband', 'include', 'last', 'month')	107_family_and_social_networks
('club', 'activity', 'box', 'guide', 'observance')	107_family_and_social_networks
('stay', 'child(ren', 'outbreak', 'think', 'coronavirus')	107_family_and_social_networks
('explain', 'thing', 'child', 'follow', 'number')	107_family_and_social_networks
('look', 'hour', 'spend', 'think', 'week')	107_family_and_social_networks
('summer', 'school', 'shut', 'lockdown', 'holiday')	107_family_and_social_networks
('hour', 'home', 'spend', 'childcare', 'week')	107_family_and_social_networks
('age', 'child', 'enrol', 'parent', 'live')	107_family_and_social_networks
('activity', 'answer', 'number', 'card', 'want')	107_family_and_social_networks
('date', 'know', 'birth', 'child', 'answer')	107_family_and_social_networks
('degree', 'point', 'represent', 'describe', 'consider')	107_family_and_social_networks
('cooking', 'housework', 'laundry', 'clean', 'week')	107_family_and_social_networks
('responsibility', 'household', 'member', 'care', 'share')	107_family_and_social_networks
('carer', 'centre', 'care', 'mention', 'support')	107_family_and_social_networks
('look', 'People', 'people', 'help', 'live')	107_family_and_social_networks
('husband', 'example', 'friend', 'help', 'live')	107_family_and_social_networks
('include', 'father', 'child', 'interview', 'live')	107_family_and_social_networks
('household', 'child(ren', 'outbreak', 'coronavirus', 'live')	107_family_and_social_networks
('home', 'relationship', 'child(ren', 'change', 'policy')	107_family_and_social_networks
('People', 'household', 'friend', 'member', 'meet')	107_family_and_social_networks
('family', 'phone', 'speak', 'friend', 'live')	107_family_and_social_networks
('time', 'quarrel', 'month', 'child', 'parent')	107_family_and_social_networks
('chat', 'example', 'friend', 'engage', 'live')	107_family_and_social_networks
('tell', 'disability', 'illness', 'condition', 'nature')	107_family_and_social_networks
('app', 'interact', '-', 'friend', 'week')	107_family_and_social_networks
('child', 'month', 'matter', 'talk', 'parent')	107_family_and_social_networks
('discuss', 'terminate', 'separation', 'divorce', 'consider')	107_family_and_social_networks
('contact', 'email', 'telephone', 'daughter', 'son')	107_family_and_social_networks
('partner', 'year', 'couple', 'month', 'live')	107_family_and_social_networks
('child(ren', 'time', 'child', 'think', 'take')	107_family_and_social_networks
('age', 'child', 'daughter', 'son', 'live')	107_family_and_social_networks
('door', 'life', 'daughter', 'take', 'son')	107_family_and_social_networks
('outbreak', 'think', 'pandemic', 'coronavirus', 'live')	107_family_and_social_networks
('family', 'friend', 'meet', 'live', 'week')	107_family_and_social_networks
('app', 'content', 'image', 'medium', 'video')	107_family_and_social_networks
('housework', 'day', 'caring', 'share', 'view')	107_family_and_social_networks
('child', 'compare', 'coronavirus', 'support', 'week')	107_family_and_social_networks
('contact', 'visit', 'child(ren', 'think', 'week')	107_family_and_social_networks
('day', 'shopping', 'task', 'follow', 'grocery')	107_family_and_social_networks
('child(ren', 'education', 'life', 'decision', 'relate')	107_family_and_social_networks
('night', 'stay', 'child', 'think', 'week')	107_family_and_social_networks
('hour', 'type', 'care', 'receive', 'week')	107_family_and_social_networks
('look', 'hour', 'spend', 'thing', 'week')	107_family_and_social_networks
('relationship', 'day', 'child(ren', 'describe', 'parent')	107_family_and_social_networks
('internet', 'access', 'household', 'home')	107_family_and_social_networks
('partner', 'think', 'nerve', 'week')	107_family_and_social_networks
('family', 'relative', 'need', 'visit')	107_family_and_social_networks
('day', 'eat', 'meal', 'live')	107_family_and_social_networks
('door', 'time', 'think', 'take')	107_family_and_social_networks
('contact', 'outbreak', 'think', 'coronavirus')	107_family_and_social_networks
('kind', 'receive', 'help')	107_family_and_social_networks
('age', 'live', 'child')	107_family_and_social_networks
('second', 'live', 'child')	107_family_and_social_networks
('status', 'change', 'interview')	107_family_and_social_networks
('marry', 'regret', 'live')	107_family_and_social_networks
('relationship', 'day', 'child(ren')	107_family_and_social_networks
('device', 'video', 'week')	107_family_and_social_networks
('household', 'parent', 'live')	107_family_and_social_networks
('look', 'day', 'child')	107_family_and_social_networks
('child(ren', 'nerve', 'month')	107_family_and_social_networks
('receive', 'support', 'child')	107_family_and_social_networks
('school', 'trip', 'child')	107_family_and_social_networks
('go', 'partner', 'spouse')	107_family_and_social_networks
('year', 'couple', 'live')	107_family_and_social_networks
('look', 'think', 'grandchild(ren')	107_family_and_social_networks
('smartphone', 'type', 'use')	107_family_and_social_networks
('iron', 'washing', 'day')	107_family_and_social_networks
('look', 'apply', 'cross')	107_family_and_social_networks
('stream', 'internet', 'use')	107_family_and_social_networks
('family', 'support', 'live')	107_family_and_social_networks
('support', 'pay', 'child')	107_family_and_social_networks
('partner', 'live')	107_family_and_social_networks
('device', 'week')	107_family_and_social_networks
('internet', 'use')	107_family_and_social_networks
('age', 'live')	107_family_and_social_networks
('help', 'household')	107_family_and_social_networks
('status', 'change')	107_family_and_social_networks
('day', 'friend')	107_family_and_social_networks
('quarrel', 'partner')	107_family_and_social_networks
('help', 'homework')	107_family_and_social_networks
('think', 'child')	107_family_and_social_networks
('step', 'child')	107_family_and_social_networks
('day', 'cooking')	107_family_and_social_networks
('household', 'think')	107_family_and_social_networks
('use', 'internet')	107_family_and_social_networks
('day', 'job')	107_family_and_social_networks
('gardening', 'day')	107_family_and_social_networks
('cleaning', 'day')	107_family_and_social_networks
('following', 'week')	107_family_and_social_networks
('partner', 'month')	107_family_and_social_networks
('tell', 'month', 'time', 'education', 'period')	108_education
('start', 'autumn', 'school', 'college', 'attend')	108_education
('relation', 'following', 'rate', 'concern', 'attend')	108_education
('school', 'college', 'offer', 'session', 'attend')	108_education
('hour', 'half', 'school', 'day', 'attend')	108_education
('home', 'school', 'work', 'think', 'situation')	108_education
('need', 'school', 'following', 'feel', 'support')	108_education
('day', 'employer', 'finish', 'course', 'evening')	108_education
('job', 'time', 'education', 'leave', 'pay')	108_education
('job', 'education', 'interview', 'count', 'holiday')	108_education
('family', 'spend', 'time', 'member', 'help')	108_education
('lesson', 'provide', 'assignment', 'line', 'video')	108_education
('app', 'learn', 'book', 'website', 'tutoring')	108_education
('lesson', 'provide', 'time', 'meeting', 'live')	108_education
('age', 'college', 'child', 'enrol', 'parent')	108_education
('hour', 'term', 'spend', 'time', 'homework')	108_education
('tell', 'school', 'information', 'child', 'use')	108_education
('day', 'time', 'homework', 'evening', 'week')	108_education
('school', 'thing', 'following', 'feel', 'attend')	108_education
('need', 'computer', 'work', 'laptop', 'tablet')	108_education
('school', 'college', 'day', 'attend', 'week')	108_education
('problem', 'health', 'need', 'disability', 'consider')	108_education
('complete', 'school', 'send', 'check', 'upload')	108_education
('home', 'school', 'work', 'think', 'week')	108_education
('end', 'education', 'period', 'time')	108_education
('qualification', 'gain', 'education', 'time')	108_education
('school', 'invite', 'attend', 'week')	108_education
('school', 'information', 'use', 'tell')	108_education
('school', 'state', 'fee', 'pay')	108_education
('laptop', 'computer', 'tablet', 'work')	108_education
('school', 'following', 'feel', 'attend')	108_education
('education', 'period', 'time')	108_education
('school', 'attend', 'week')	108_education
('school', 'homework', 'set')	108_education
('check', 'attend', 'child')	108_education
('home', 'homework', 'help')	108_education
('school', 'report', 'detail')	108_education
('home', 'school', 'work')	108_education
('support', 'plan', 'authority')	108_education
('school', 'person', 'attend')	108_education
('school', 'college', 'attend')	108_education
('school', 'leave')	108_education
('report', 'detail')	108_education
('school', 'time')	108_education
('school', 'offer')	108_education
('tell', 'household', 'work', 'think', 'live')	109_employment_and_income
('job', 'include', 'activity', 'pay', 'earning')	109_employment_and_income
('suggest', 'hour', 'tell', 'work', 'answer')	109_employment_and_income
('self', 'work', 'employ', 'pay', 'week')	109_employment_and_income
('employment', 'hour', 'include', 'activity', 'week')	109_employment_and_income
('income', 'pension', 'benefit', 'expect', 'receive')	109_employment_and_income
('example', 'friend', 'house', 'form', 'help')	109_employment_and_income
('home', 'job', 'childcare', 'time', 'pay')	109_employment_and_income
('complete', 'case', 'survey', 'note', 'furlough')	109_employment_and_income
('look', 'government', 'scheme', 'pay', 'week')	109_employment_and_income
('job', 'sort', 'provide', 'work', 'describe')	109_employment_and_income
('job', 'time', 'think', 'feel', 'week')	109_employment_and_income
('earn', 'job', 'pence', 'money', 'week')	109_employment_and_income
('self', 'government', 'employ', 'receive', 'support')	109_employment_and_income
('payment', 'credit', 'product', 'mortgage', 'holiday')	109_employment_and_income
('worker', 'work', 'sector', 'situation', 'coronavirus')	109_employment_and_income
('scale', 'government', 'scheme', 'support', 'chance')	109_employment_and_income
('come', 'month', 'think', 'like', 'happen')	109_employment_and_income
('hour', 'job', 'provide', 'share', 'earning')	109_employment_and_income
('status', 'tell', 'mortgage', 'apply', 'holiday')	109_employment_and_income
('ask', 'housing', 'find', 'mortgage', 'people')	109_employment_and_income
('service', 'household', 'bank', 'food', 'week')	109_employment_and_income
('ask', 'bill', 'card', 'pay', 'electricity')	109_employment_and_income
('follow', 'spending', 'receipt', 'indicate', 'donation')	109_employment_and_income
('borrow', 'change', 'like', 'cause', 'consider')	109_employment_and_income
('employment', 'outbreak', 'think', 'coronavirus', 'pay')	109_employment_and_income
('job', 'provide', 'earning', 'share', 'pay')	109_employment_and_income
('account', 'build', 'example', 'bank', 'bill')	109_employment_and_income
('complete', 'claim', 'application', 'apply', 'survey')	109_employment_and_income
('start', 'tell', 'job', 'work', 'employer')	109_employment_and_income
('confirm', 'write', 'employer', 'receive', 'furlough')	109_employment_and_income
('difficulty', 'expense', 'think', 'bill', 'pay')	109_employment_and_income
('provide', 'work', 'share', 'industry', 'earning')	109_employment_and_income
('income', 'tell', 'expect', 'retirement', 'compare')	109_employment_and_income
('hour', 'spend', 'work', 'organisation', 'week')	109_employment_and_income
('job', 'work', 'follow', 'period', 'pay')	109_employment_and_income
('work', 'month', 'think', 'begin', 'pay')	109_employment_and_income
('look', 'income', 'future', 'expect', 'retirement')	109_employment_and_income
('hour', 'job', 'work', 'time', 'week')	109_employment_and_income
('hour', 'job', 'work', 'pay', 'week')	109_employment_and_income
('charity', 'volunteer', 'organisation', 'help', 'give')	109_employment_and_income
('ff_bentype01', 'accord', 'record', 'past', 'check')	109_employment_and_income
('arrangement', 'need', 'working', 'follow', 'workplace')	109_employment_and_income
('home', 'distancing', 'workplace', 'like', 'measure')	109_employment_and_income
('self', 'tell', 'government', 'employ', 'support')	109_employment_and_income
('hour', 'work', 'day', 'think', 'compare')	109_employment_and_income
('arrange', 'basis', 'time', '-', 'finish')	109_employment_and_income
('ask', 'include', 'credit', 'owe', 'balance')	109_employment_and_income
('job', 'thing', 'describe', 'number', 'consider')	109_employment_and_income
('property', 'house', 'mortgage', 'owner', 'take')	109_employment_and_income
('statement', 'scheme', 'describe', 'employer', 'card')	109_employment_and_income
('household', 'use', 'think', 'bank', 'food')	109_employment_and_income
('connect', 'future', 'education', 'take', 'week')	109_employment_and_income
('qualification', 'lead', 'training', 'credit', 'education')	109_employment_and_income
('date', 'grade', 'promote', 'employer', 'change')	109_employment_and_income
('end', 'payment', 'type', 'credit', 'holiday(s')	109_employment_and_income
('month', 'follow', 'benefit', 'total', 'receive')	109_employment_and_income
('hour', 'include', 'time', 'education', 'study')	109_employment_and_income
('deal', 'earn', 'following', 'household')	109_employment_and_income
('get', 'coronavirus', 'reason', 'day')	109_employment_and_income
('bank', 'ask', 'holiday', 'mortgage')	109_employment_and_income
('hour', 'take', 'think', 'day')	109_employment_and_income
('date', 'month', 'end', 'job')	109_employment_and_income
('work', 'pay', 'interview', 'time')	109_employment_and_income
('date', 'day', 'end', 'job')	109_employment_and_income
('date', 'stop', 'day', 'enter')	109_employment_and_income
('date', 'year', 'end', 'job')	109_employment_and_income
('industry', 'look', 'type', 'job')	109_employment_and_income
('manage', 'save', 'pound', 'week')	109_employment_and_income
('step', 'find', 'take', 'work')	109_employment_and_income
('pound', 'change', 'debt', 'week')	109_employment_and_income
('employee', 'supervise', 'duty', 'job')	109_employment_and_income
('retire', 'check', 'year', 'month')	109_employment_and_income
('charity', 'month', 'organisation', 'money')	109_employment_and_income
('people', 'work', 'employ', 'place')	109_employment_and_income
('education', 'skill', 'training', 'improve')	109_employment_and_income
('following', 'furlough', 'apply', 'tell')	109_employment_and_income
('industry', 'start', 'year', 'work')	109_employment_and_income
('role', 'start', 'work', 'month')	109_employment_and_income
('industry', 'start', 'work', 'month')	109_employment_and_income
('home', 'work', 'week')	109_employment_and_income
('employee', 'supervise', 'duty')	109_employment_and_income
('look', 'think', 'month')	109_employment_and_income
('indicate', 'spend', 'payment')	109_employment_and_income
('work', 'pay', 'week')	109_employment_and_income
('think', 'month', 'scale')	109_employment_and_income
('rent', 'holiday', 'reduction')	109_employment_and_income
('date', 'stop', 'year')	109_employment_and_income
('self', 'employ', 'job')	109_employment_and_income
('workplace', 'work', 'job')	109_employment_and_income
('describe', 'follow', 'money')	109_employment_and_income
('date', 'stop', 'month')	109_employment_and_income
('receive', 'follow', 'benefit')	109_employment_and_income
('home', 'spend', 'include')	109_employment_and_income
('job', 'mean', 'scale')	109_employment_and_income
('pension', 'include', 'contribute')	109_employment_and_income
('people', 'pay', 'negotiate')	109_employment_and_income
('industry', 'start', 'work')	109_employment_and_income
('employer', 'start', 'work')	109_employment_and_income
('aim', 'training', 'education')	109_employment_and_income
('start', 'overpayment', 'mortgage')	109_employment_and_income
('start', 'work', 'role')	109_employment_and_income
('receive', 'year', 'advance')	109_employment_and_income
('total', 'owe', 'pound')	109_employment_and_income
('owe', 'money', 'week')	109_employment_and_income
('school', 'receive', 'meal')	109_employment_and_income
('receive', 'help')	109_employment_and_income
('home', 'work')	109_employment_and_income
('manage', 'day')	109_employment_and_income
('interview', 'time')	109_employment_and_income
('employer', 'work')	109_employment_and_income
('work', 'job')	109_employment_and_income
('end', 'period')	109_employment_and_income
('way', 'work')	109_employment_and_income
('receive', 'change')	109_employment_and_income
('influence', 'work')	109_employment_and_income
('scheme', 'join')	109_employment_and_income
('day', 'time')	109_employment_and_income
('influence', 'task')	109_employment_and_income
('pay', 'relate')	109_employment_and_income
('hour', 'reason')	109_employment_and_income
('voucher', 'meal')	109_employment_and_income
('survey', 'complete')	109_employment_and_income
('household', 'income')	109_employment_and_income
('know', 'event', 'let', 'follow', 'happen')	110_expectations,_attitudes_and_beliefs
('find', 'follow', 'think', 'occupation', 'want')	110_expectations,_attitudes_and_beliefs
('job', 'follow', 'think', 'occupation', 'want')	110_expectations,_attitudes_and_beliefs
('age', 'child', 'write', 'like', 'want')	110_expectations,_attitudes_and_beliefs
('future', 'provide', 'life', 'space', 'like')	110_expectations,_attitudes_and_beliefs
('mean', 'scale', 'think', 'people', 'live')	110_expectations,_attitudes_and_beliefs
('allow', 'come', 'think', 'people', 'live')	110_expectations,_attitudes_and_beliefs
('contract', 'covid-19', 'view', 'month')	110_expectations,_attitudes_and_beliefs
('like', 'leave', 'age', 'home')	110_expectations,_attitudes_and_beliefs
('want', 'write', 'marry', 'age')	110_expectations,_attitudes_and_beliefs
('instal', 'consider', 'electricity')	110_expectations,_attitudes_and_beliefs
('service', 'meeting', 'week')	110_expectations,_attitudes_and_beliefs
('covid-19', 'view')	110_expectations,_attitudes_and_beliefs
('point', 'recycling')	110_expectations,_attitudes_and_beliefs
('day', 'month', 'leave', 'paternity', 'period')	111_child_development
('stop', 'breastfeed', 'code', 'child', 'unit')	111_child_development
('date', 'child', 'born', 'expect', 'week')	111_child_development
('night', 'process', 'time', 'child', 'settle')	111_child_development
('hour', 'cry', 'child', 'fuss', 'period')	111_child_development
('sentence', 'response', 'thing', 'child', 'word')	111_child_development
('nursery', 'toddler', 'child', 'group', 'week')	111_child_development
('assistance', 'response', 'thing', 'child')	111_child_development
('leave', 'maternity', 'paternity', 'period')	111_child_development
('child', 'night', 'wake', 'time')	111_child_development
('response', 'thing', 'game', 'child')	111_child_development
('response', 'thing', 'child', 'call')	111_child_development
('response', 'thing', 'paper', 'child')	111_child_development
('response', 'thing', 'child')	111_child_development
('born', 'weigh', 'child')	111_child_development
('time', 'breastfeed', 'child')	111_child_development
('lbs', 'record', 'birthweight')	111_child_development
('stop', 'breastfeed', 'child')	111_child_development
('weigh', 'kg', 'child')	111_child_development
('record', 'birthweight')	111_child_development
('born', 'child')	111_child_development
('child', 'week')	111_child_development
('stop', 'breastfeed')	111_child_development
('ask', 'year', 'life', 'happen')	112_life_events
('cigarette', 'smoke', 'day', 'month', 'pregnancy')	114_pregnancy
('end', 'tell', 'pregnancy', 'number', 'card')	114_pregnancy
('birth', 'delivery', 'time', 'pregnancy', 'interview')	114_pregnancy
('receive', 'form', 'fertility', 'treatment')	114_pregnancy
('triplet', 'birth', 'twin', 'pregnancy')	114_pregnancy
('drink', 'alcohol', 'day', 'unit')	114_pregnancy
('describe', 'drink', 'alcohol', 'pregnancy')	114_pregnancy
('acid', 'folic', 'supplement', 'take')	114_pregnancy
('smoke', 'include', 'pregnancy')	114_pregnancy
('smoke', 'pregnancy', 'month')	114_pregnancy
('receive', 'fertilisation', 'treatment')	114_pregnancy
('year', 'month')	114_pregnancy
('birth', 'result')	114_pregnancy
('interview', 'pregnancy')	114_pregnancy
('appointment', 'attend')	114_pregnancy
('account', 'affect', 'credit', 'life', 'gift')	115_administration
('purpose', 'record', 'like', 'information', 'address')	115_administration
('allow', 'address', 'like', 'thank', 'week')	115_administration
('operating', 'system', 'find', 'smartphone', 'version')	115_administration
('confirm', 'detail', 'interview', 'like', 'give')	115_administration
('complete', 'self', 'respondent', 'unable', 'completion')	115_administration
('language', 'act', 'interview', 'person', 'accompany')	115_administration
('answer', 'add', 'record', 'study', 'give')	115_administration
('come', 'know', 'answer', 'interview', 'want')	115_administration
('contact', 'ENTER', 'telephone', 'number', 'enter')	115_administration
('household', 'answer', 'record', 'grid', 'number')	115_administration
('baby', 'child', 'member', 'record', 'identifier')	115_administration
('contact', 'like', 'change', 'help', 'thank')	115_administration
('birth', 'boy', 'child', 'check', 'girl')	115_administration
('ENTER', 'CONTACT', 'telephone', 'number', 'enter')	115_administration
('-', 'mail', 'use', 'address', 'e')	115_administration
('receive', 'like', 'invitation', 'number', 'survey')	115_administration
('receive', 'email', 'invitation', 'address', 'like')	115_administration
('know', 'tell', 'find', 'ff_ctrel', 'detail')	115_administration
('amend', 'capital', 'check', 'eg', 'enter')	115_administration
('start', 'household', 'month', 'people', 'live')	115_administration
('conduct', 'year', 'household', 'INTERVIEW', 'interviewed')	115_administration
('household', 'respondent', 'speak', 'translate', 'question')	115_administration
('k', 'address', 'number', 'line', 'enter')	115_administration
('check', 'time', 'interview', 'address', 'live')	115_administration
('contact', 'let', 'friend', 'touch', 'address')	115_administration
('know', 'k.', 'code', 'address', 'enter')	115_administration
('ask', 'interview', 'change', 'question', 'happen')	115_administration
('know', 'town', 'k.', 'address', 'enter')	115_administration
('health', 'information', 'add', 'form', 'like')	115_administration
('E', 'consent', 'show', 'form', 'signed')	115_administration
('remember', 'reward', 'month', 'covid-19', 'survey')	115_administration
('antibody', 'kit', 'covid-19', 'testing', 'send')	115_administration
('survey', 'like', 'hoffech', 'complete')	115_administration
('town', 'address', 'city', 'tell')	115_administration
('influence', 'answer', 'give', 'PEOPLE')	115_administration
('address', 'e', '-', 'mail')	115_administration
('know', 'address', 'postcode', 'enter')	115_administration
('INFORMANT', 'PROXY', 'household', 'code')	115_administration
('address', 'email', 'provide', 'hold')	115_administration
('need', 'person', 'born', 'interview')	115_administration
('like', 'record', 'detail', 'confirm')	115_administration
('refused', 'reason', 'r', 'self')	115_administration
('conduct', 'language', 'record', 'questionnaire')	115_administration
('education', 'form', 'add', 'number')	115_administration
('come', 'household', 'live', 'release')	115_administration
('hear', 'prison', 'happen', 'month')	115_administration
('date', 'birth', 'dob', 'household')	115_administration
('date', 'birth', 'sex', 'address')	115_administration
('like', 'invitation', 'receive', 'survey')	115_administration
('address', 'line', 'enter')	115_administration
('number', 'street', 'enter')	115_administration
('people', 'visit', 'nurse')	115_administration
('address', 'number', 'tell')	115_administration
('address', 'street', 'tell')	115_administration
('address', 'county', 'tell')	115_administration
('include', 'tube', 'fill')	115_administration
('study', 'take', 'past')	115_administration
('number', 'home', 'landline')	115_administration
('punjabi', 'welsh', 'language')	115_administration
('complete', 'study', 'respondent')	115_administration
('type', 'detail', 'contact')	115_administration
('number', 'phone', 'work')	115_administration
('describe', 'understanding', 'question')	115_administration
('respondent', 'biological', 'child')	115_administration
('date', 'interview', 'enter')	115_administration
('number', 'telephone', 'enter')	115_administration
('contact', 'email', 'enter')	115_administration
('number', 'telephone', 'contact')	115_administration
('you/', 'language', 'interview')	115_administration
('laptop', 'return', 'thank')	115_administration
('school', 'address', 'live')	115_administration
('flag', 'outcome', 'nhscr')	115_administration
('number', 'detail', 'street')	115_administration
('know', 'k.', 'enter')	115_administration
('computer', 'question', 'answer')	115_administration
