InstrumentURN	InstrumentName	QuestionURN	QuestionLabel	QuestionItemName	QuestionText	Instruction	response_label	response_domain	QuestionGroupID	QuestionGroupAgency	QuestionGroupName	QuestionGroupLabel
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:0ea0c010-3efd-4f9f-8396-cd45c7e4daf0:2	OUTDOORS	qi_OUTDOORS	 Do you have a garden, a patio or yard, a roof terrace or large balcony? 	Please select all that apply	cs_OUTDOORS	1|A garden. 2|A patio or yard. 3|A roof terrace or large balcony. 4|None of the above	8ee998e7-e11e-4844-ad8b-9335163348d2	uk.closer	11602.0	Housing and local environment (CV19)
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:2f82b4e2-d96c-4811-a58c-b24453d58247:1	NUMROOMS	qi_NUMROOMS	How many rooms are there in the home where you are currently living, not counting kitchens, bathrooms, toilets, halls and garages?	Please do not include conservatories unless they are used as a living room all year round.		How many	8ee998e7-e11e-4844-ad8b-9335163348d2	uk.closer	11602.0	Housing and local environment (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:3a03d544-8002-473e-b39d-a3dbca04827b:1	OUTDOORS	qi_OUTDOORS	Do you have a garden, a patio or yard, a roof terrace or large balcony?	Please select all that apply.	cs_qOUTDOORS	1|A garden. 2|A patio or yard. 3|A roof terrace or large balcony. 4|None of the above. -8|Don't Know. -9|Don't want to answer	92caa0cb-2cd8-4b36-8c65-ac7e4aea9f86	uk.closer	11602.0	Housing and local environment (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:55836fa6-827b-4040-aa0c-98435cfbddad:1	TENCHANGE	qi_TENCHANGE	Has your tenure changed since the start of the Coronavirus outbreak in March?		cs_qCOVID_HOSPAD	1|Yes. 2|No. -8|Don't Know. -9|Don't want to answer	92caa0cb-2cd8-4b36-8c65-ac7e4aea9f86	uk.closer	11602.0	Housing and local environment (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:639d9fec-0ebc-4c7c-b1e5-becb23a86a3b:1	TENURE	qi_TENURE	Do you (or your household) own or rent your home or have some other arrangement?		cs_qTENURE	1|Own - outright. 2|Own - buying with help of a mortgage / loan. 3|Pay part rent and part mortgage (shared / equity ownership). 4|Rent it. 5|Live here rent-free, including rent-free in relative's / friend's / employer's property; exclude squatting. 6|Squatting. 7|Other arrangement. -8|Don't Know. -9|Don't want to answer	92caa0cb-2cd8-4b36-8c65-ac7e4aea9f86	uk.closer	11602.0	Housing and local environment (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:979eb600-38bb-4edf-a22a-7a34d0b576cd:1	TENUREBC	qi_TENUREBC	At the start of the Coronavirus outbreak in March, did you (or your household) own or rent your home or have some other arrangement?		cs_qTENURE	1|Own - outright. 2|Own - buying with help of a mortgage / loan. 3|Pay part rent and part mortgage (shared / equity ownership). 4|Rent it. 5|Live here rent-free, including rent-free in relative's / friend's / employer's property; exclude squatting. 6|Squatting. 7|Other arrangement. -8|Don't Know. -9|Don't want to answer	92caa0cb-2cd8-4b36-8c65-ac7e4aea9f86	uk.closer	11602.0	Housing and local environment (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:d48b8123-719e-41f2-ac96-dca390a7197a:1	NUMROOMSSC	qi_NUMROOMSSC	You have said the number of rooms in your home is more than 20. If this is correct, press 'Continue'. Otherwise, please go back and amend your answer.		cs_qCON	1|Continue	92caa0cb-2cd8-4b36-8c65-ac7e4aea9f86	uk.closer	11602.0	Housing and local environment (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:00065ed0-23d8-4785-a5b1-1ea108f87fad:1	WGHTSTPCHK	qi_WGHTSTPCHK	You have said that you weigh {ANSWER AT WGHTSTP_} stones. If this weight is correct, please select 'Continue'. Otherwise please go back and amend your answer.		cs_qCON	1|Continue	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:065bdb03-a8f6-496d-ad45-0441fec53a59:1	COVID19POS	qi_COVID19POS	When do you think you got (or might have got) Coronavirus?	If you think you have had Coronavirus on more than one occasion please select the month in which you most recently think you got it.	cs_qCOVID19POS	1|February 2020 or earlier. 2|March 2020. 3|April 2020. 4|May 2020. 5|June 2020. 6|July 2020. 7|August 2020. 8|September 2020. 9|October 2020. 10|November 2020. 11|December 2020. 12|January 2021. 13|February 2021 {IF MONTH OF INTERVIEW = FEB OR MARCH 2021}. 14|March 2021 {IF MONTH OF INTERVIEW=MARCH 2021}. -8|Don't Know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:0c50dc8c-f3df-4ac7-8cd7-6ecd1e7d8481:1	GHQPRECOVID	qi_GHQPRECOVID	In general, in the 3 months before the Coronavirus outbreak in March 2020, would you say your health was...		cs_qGHQ	1|Excellent. 2|Very good. 3|Good. 4|Fair. 5|Poor. -8|Don't Know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:0e4813fb-c42c-4a4e-b786-8bb302328881:2	WEIGHT	qi_WEIGHT	The next question is about your weight. Would you prefer to report your weight in kilograms or stones and pounds?		cs_WEIGHT	1|Kilograms. 2|Stones and Pounds. 3|I do not wish to report my weight	60ceda51-eddf-4813-8426-5d82e705ed35	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:1414f736-256c-4934-a41b-9edbca5f1e95:1	COVIDPASRESULT	qi_COVIDPASRESULT	Did your finger stick or blood test or serology test or antibody test for past infection show that you have had Coronavirus?	If you had more than one of these tests and any of them showed you have had Coronavirus please select 'Yes'.  	cs_qCOVIDPASRESULT	1|Yes – the test was positive. 2|No – the test was negative and showed I had not had Coronavirus. 3|Test was inconclusive. 4|I am waiting for results. -8|Don't Know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:173d6532-eb7e-4557-94fb-3a9be6d94330:1	COVID HOSPAD	qi_COVID_HOSPAD	Have you been in hospital because of Coronavirus symptoms?		cs_qCOVID_HOSPAD	1|Yes. 2|No. -8|Don't Know. -9|Don't want to answer	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:18073c36-c64e-4446-9028-362c40303d04:1	GHQ123	qi_GHQ123	Have you recently felt that you are playing a useful part in things?		cs_qGHQ123	1|More so than usual. 2|Same as usual. 3|Less so than usual. 4|Much less capable. -8|Don't Know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:1ee2866e-b3dd-4512-a6f1-ea670a1d726a:1	FATGRID i	qi_FATGRID_i	In the last month... Have you made slips of the tongue when speaking?		cs_qFATGRID	1|Less than usual. 2|No more than usual. 3|More than usual. 4|Much more than usual. -8|Don't know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:21fa904b-e70e-49ee-a9e7-87b4a32bbfc2:1	WGHTSTP 2	qi_WGHTSTP_2	Please enter your weight in stones and pounds. Please enter pounds.			Pounds in stone	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:26d1cbed-831c-4456-8427-93bbed45f546:1	COVBED	qi_COVBED	How many days were you so unwell that you stayed in bed or on the sofa due to Coronavirus?		cs_qCOVBED	1|None. 2|1-3 days. 3|4-6 days. 4|1 week or more, less than 2 weeks. 5|2 weeks or more, less than 4 weeks. 6|4 weeks or more, less than 12 weeks. 7|12 weeks or more. -8|Don't know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:2a2e1ab6-17d8-4bd1-a602-445dfbbb732b:1	GHQ124	qi_GHQ124	Have you recently felt capable of making decisions about things?		cs_qGHQ123	1|More so than usual. 2|Same as usual. 3|Less so than usual. 4|Much less capable. -8|Don't Know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:33463ed0-d635-4f83-a8a8-4686de4734cc:1	COVFUNC	qi_COVFUNC	For how long were you unable to function as normal due to Coronavirus symptoms?		cs_qCOVFUNC	1|I was always able to function as normal. 2|1-3 days. 3|4-6 days. 4|1 week or more, less than 2 weeks. 5|2 weeks or more, less than 4 weeks. 6|4 weeks or more, less than 12 weeks. 7|12 weeks or more. -8|Don't know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:39178b28-117f-4d6d-a156-ba916a9bb3eb:2	COVID19	qi_COVID19	Do you think that you have or have had Coronavirus?		cs_COVID19	1|Yes, confirmed by a positive test. 2|Yes, based on strong personal suspicion or medical advice. 3|Unsure. 4|No	60ceda51-eddf-4813-8426-5d82e705ed35	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:39a3ef8b-5758-41eb-94a4-a60722eeb00f:1	LLI	qi_LLI	Do you currently have any of the following?	Please select all that apply.	cs_qLLI	1|Cancer. 2|Cystic fibrosis. 3|Asthma. 4|Chronic Obstructive Pulmonary Disease. 5|Wheezy bronchitis. 6|Diabetes. 7|Recurrent backache, prolapsed disc, sciatica or other back problem. 8|Problems with hearing. 9|High blood pressure. 10|Heart disease, congenital or acquired. 11|None of these. -8|Don't Know. -9|Don't want to answer	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:3aecf830-a929-42ea-9b61-a2de3d905adf:1	COVNEWILL	qi_COVNEWILL	Have you been told by a doctor that you may have a new condition, illness, or disability as a result of Coronavirus?		cs_qCOVNEWILL	1|Yes. 2|No. -8|Don't know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:452052fe-bfc4-425b-86a6-4fd3ca5868ca:1	WGHTSTP 1	qi_WGHTSTP_1	Please enter your weight in stones and pounds. First, in the box below, enter stones. Then on the next screen, enter pounds.			Stones	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:4d7fa9f3-16e9-4010-96c3-de58c4c9e898:2	LLI	qi_LLI	Do you have any of the following?	Please select all that apply.	cs_LLI	1|Cancer. 2|Cystic fibrosis. 3|Asthma. 4|Chronic Obstructive Pulmonary Disease. 5|Wheezy bronchitis. 6|Diabetes. 7|Recurrent backache, prolapsed disc, sciatica or other back problem. 8|Problems with hearing. 9|High blood pressure. 10|Heart disease, congenital or acquired. 11|Depression or other emotional, nervous or psychiatric problems. 12|Obesity. 13|Chronic obstructive airways disease. 14|Infection. 15|HIV / Immunodeficiency. 16|Condition affecting the brain and nerves (e.g. Parkinson's, Multiple Sclerosis). 17|None	60ceda51-eddf-4813-8426-5d82e705ed35	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:534d20ff-3e03-490c-ad79-9d4a92fa29fa:1	GHQ	qi_GHQ	In general, would you say your health is...		cs_qGHQ	1|Excellent. 2|Very good. 3|Good. 4|Fair. 5|Poor. -8|Don't Know. -9|Don't want to answer	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:55fe8590-1a40-4f3c-9ece-0375572e1bc6:2	COVIDRESULT	qi_COVIDRESULT	What was the result of your coronavirus test? If you had more than one test please report the findings of the latest test.		cs_COVIDRESULT	1|Positive - it showed I had coronavirus. 2|Negative - it showed I did not have coronavirus. 3|Inconclusive. 4|Waiting for results	60ceda51-eddf-4813-8426-5d82e705ed35	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:578f11bc-1b43-4ab8-b4cc-8408e73e310b:1	COVIDPASWHEN	qi_COVIDPASWHEN	When did you have this test?		cs_qCOVID19POS	1|February or earlier. 2|March. 3|April. 4|May. 5|June. 6|July. 7|August. 8|September. 9|October. -8|Don't Know. -9|Don't want to answer	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:588b283a-d72f-4d81-946a-d8996bddcf4f:1	WEIGHT	qi_WEIGHT	The next question is about your weight. Would you prefer to report your weight in kilograms or stones and pounds?		cs_qWEIGHT	1|Kilograms. 2|Stones and Pounds. 3|I do not wish to report my weight	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:83ab13bb-90e6-40fe-8741-16cf36400450:4	Next_Steps_Age_30_COVID-19_Survey_-_Wave_1	urn:ddi:uk.cls.nextsteps:5ac1a135-8ee8-4626-85ee-47eca775d1e6:1	WGHTKG	qi_WGHTKG	What is your weight in kilograms?			Kilograms	60ceda51-eddf-4813-8426-5d82e705ed35	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:5f41b84e-6908-4c8e-a549-fd816c15b523:1	COVID19POS	qi_COVID19POS	When do you think you got (or might have got) Coronavirus?	If you have thought you have had Coronavirus on more than one occasion please select the month in which you most recently think you got it.	cs_qCOVID19POS	1|February or earlier. 2|March. 3|April. 4|May. 5|June. 6|July. 7|August. 8|September. 9|October. -8|Don't Know. -9|Don't want to answer	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:65595661-f96c-410c-b003-622ba48ba7a4:1	FATGRID b	qi_FATGRID_b	In the last month... Have you needed to rest more?		cs_qFATGRID	1|Less than usual. 2|No more than usual. 3|More than usual. 4|Much more than usual. -8|Don't know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:82b7a6c9-47ea-4ee5-98fb-4cd5958c4076:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_3	urn:ddi:uk.cls.nextsteps:6b42139a-4a27-46aa-807e-7f31dc674fda:1	FATGRID h	qi_FATGRID_h	In the last month... Have you had difficulties concentrating?		cs_qFATGRID	1|Less than usual. 2|No more than usual. 3|More than usual. 4|Much more than usual. -8|Don't know. -9|Don't want to answer	b35c6c46-0f2e-4990-ac39-dd7fe6fd951c	uk.closer	11603.0	Physical health (CV19)
urn:ddi:uk.cls.nextsteps:3032d053-47dd-471e-883e-346f09928d3f:1	Next_Steps_Age_30_COVID-19_Survey_-_Wave_2	urn:ddi:uk.cls.nextsteps:6b8664f8-123d-4cbf-94ff-aecf89fb25bb:1	WGHTKGCHK	qi_WGHTKGCHK	You have said that you weigh {ANSWER AT WGHTKG} kilograms. If this weight is correct, please select 'Continue'. Otherwise please go back and amend your answer.		cs_qCON	1|Continue	35169946-ac6d-4f75-8d2c-f95c21e72f81	uk.closer	11603.0	Physical health (CV19)
