InstrumentURN	InstrumentName	QuestionURN	QuestionLabel	QuestionItemName	QuestionText	Instruction	response_label	response_domain	QuestionGroupID	QuestionGroupAgency	QuestionGroupName	QuestionGroupLabel
urn:ddi:uk.cls.mcs:c2b0c756-a2a6-495f-adbc-3c9b3dcc04b7:1	MCS_Age_11_Teacher_Paper_Questionnaire_England	urn:ddi:uk.cls.mcs:07d5f506-399c-4a8f-82ae-46e38ac35ed1:1	24	qi_24	In this child's year are there sets for English?	TICK ONE BOX ONLY	cs_yes_no	1|Yes. 2|No	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:c2b0c756-a2a6-495f-adbc-3c9b3dcc04b7:1	MCS_Age_11_Teacher_Paper_Questionnaire_England	urn:ddi:uk.cls.mcs:08970e61-4440-481f-a12d-614c110b9e6c:1	28	qi_28	How many sets are there in this child's year for maths? WRITE IN			How many	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:08b56437-3b0b-42b9-beb7-0f0fa992867c:1	SDOF	qi_SDOF	What is [^name of older sibling] like? Please answer the following questions by saying whether each is 'Not true', 'Somewhat true' or 'Certainly true' of [^name of older sibling]. Please click by the number that most describes [^name of older sibling]'s behaviour in the last 6 months. [^name of older sibling] has many fears, is easily scared		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:0b629a1d-5172-47a1-884d-ea5d0ff7c9bd:1	SDHL	qi_SDHL	Still thinking about [^Cohort child's name] Do these difficulties interfere with [^Cohort child's name]'s everyday life in the following areas? Home life		Naa_Oal_Qal_Agd_Cs	1|Not at all. 2|Only a little. 3|Quite a lot. 4|A great deal. 5|Can't say	1afa6785-260a-44a4-a95e-7e3bc9c2ea5b	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:0c4f1a67-0b83-4e4f-9b7b-0afa94d9b66b:1	SDFR i	qi_SDFR_i	Do the difficulties interfere with your child's everyday life in the following areas? Friendships		cs_Naa_Oal_Qal_Agd_Cs	1|Not at all. 2|Only a little. 3|Quite a lot. 4|A great deal. 5|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:83bd0aa6-f365-4801-95f9-9b0021e3e567:1	MCS_Age_11_Teacher_Paper_Questionnaire_Wales	urn:ddi:uk.cls.mcs:0f426c7b-2111-4deb-a507-b3625f70d96e:1	15	qi_15	Does this child get any of the following types of help or support at school due to a health or behavioural problem or disability?	TICK ALL THAT APPLY			a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:1085df4b-d7db-478b-ac23-94a283531545:1	SDOS	qi_SDOS	What is [^name of older sibling] like? Please answer the following questions by saying whether each is 'Not true', 'Somewhat true' or 'Certainly true' of [^name of older sibling]. Please click by the number that most describes [^name of older sibling]'s behaviour in the last 6 months. [^name of older sibling] shares readily with other children (treats, toys, pencils etc.)		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:1111a36a-5c74-4e9b-bdc7-9d17a94a1d46:1	SDOT	qi_SDOT	Please give your answers on the basis of the child's behaviour over the last six months. [^name of older sibling] often has temper tantrums or hot tempers		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	08b717f7-1e90-4793-92c3-a1a907da60eb	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:c2b0c756-a2a6-495f-adbc-3c9b3dcc04b7:1	MCS_Age_11_Teacher_Paper_Questionnaire_England	urn:ddi:uk.cls.mcs:12ac7084-b908-4ee9-85ba-9c29d4280569:1	27	qi_27	In this child's year are there sets for maths?	TICK ONE BOX ONLY	cs_yes_no	1|Yes. 2|No	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:0eb7ca18-d125-4a10-8ed5-a79bfd1697f0:1	MCS_Age_7_Teacher_Paper_Questionnaire_Wales	urn:ddi:uk.cls.mcs:13445355-714f-40a4-8198-22e21c33011b:1	40 b(i)	qi_40_b_i	Do these difficulties ...upset or distress the child?		cs_Naa_Oal_Qal_Agd	1|Not at all. 2|Only a little. 3|Quite a lot. 4|A great deal	db832f99-c787-477a-b579-a9a1590f7fa3	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:13bbbc37-d64d-4bca-9d40-57c6a7618a54:1	SDOC	qi_SDOC	What is [^name of older sibling] like? Please answer the following questions by saying whether each is 'Not true', 'Somewhat true' or 'Certainly true' of [^name of older sibling]. Please click by the number that most describes [^name of older sibling]'s behaviour in the last 6 months. [^name of older sibling] often fights with other children or bullies them		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:13f26be5-586e-458e-95de-cb5a59d9cedd:1	SDHU	qi_SDHU	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the last six months. [^Cohort child's name] is helpful if someone is hurt, upset or feeling ill		Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	1afa6785-260a-44a4-a95e-7e3bc9c2ea5b	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:15633b16-0f16-411d-8d78-866eae3eb1f8:1	SDRO	qi_SDRO	What's your child like? / What are your twins/triplets like? For each item, please press the appropriate number for 'Not True', 'Somewhat True' or 'Certainly True'. It would help us if you answered all items as best you can even if you are not absolutely certain or the item seems daft! Please give your answers on the basis of the child's behaviour over the last six months. Restless, overactive, cannot stay still for long		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:bf3d4174-94b2-4a79-a88f-58cfa0f4c166:1	MCS_Age_11_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:15a63f19-c1d2-469c-89e7-c97f80dae560:1	SDGB	qi_SDGB	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the  last six months.    [^Cohort child's name] gets on better with adults than with other children  		cs_SDPF-nottruedontknow	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Don't know/Don't wish to answer	9aca4763-8126-4582-94d2-3ad43b636e16	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:15dc3493-b7c3-4489-95da-84cfdf7aaf37:1	SDSP	qi_SDSP	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the last six months. [^Cohort child's name] is rather solitary, tends to play alone		Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	1afa6785-260a-44a4-a95e-7e3bc9c2ea5b	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:16404876-3dd8-48a9-a594-5014cfefedfa:1	SDOZ	qi_SDOZ	What is [^name of older sibling] like? Please answer the following questions by saying whether each is 'Not true', 'Somewhat true' or 'Certainly true' of [^name of older sibling]. Please click by the number that most describes [^name of older sibling]'s behaviour in the last 6 months. [^name of older sibling] is picked on or bullied by other children		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:1726dc3b-fe53-4c9f-9ee5-cb24aeb0e38e:1	SDOI	qi_SDOI	Please give your answers on the basis of the child's behaviour over the last six months. [^name of older sibling] is generally liked by other children		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	08b717f7-1e90-4793-92c3-a1a907da60eb	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:17cdcf04-ca3f-480f-beab-c94ae044bca3:1	SDNC	qi_SDNC	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the last six months. [^Cohort child's name] is nervous or clingy in new situations, easily loses confidence		Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	1afa6785-260a-44a4-a95e-7e3bc9c2ea5b	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:83bd0aa6-f365-4801-95f9-9b0021e3e567:1	MCS_Age_11_Teacher_Paper_Questionnaire_Wales	urn:ddi:uk.cls.mcs:190de6f8-c9bf-4ef5-9b0f-c39bee63d243:1	18 a	qi_18_a	During this school year how often, if at all... ...have other children at school hurt or picked on this child on purpose?	TICK ONE BOX ON EVERY ROW	cs_Md_Aoaw_Aoam_Efm_Lo_N	1|Most days. 2|About once a week. 3|About once a month. 4|Every few months. 5|Less often. 6|Never	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:83bd0aa6-f365-4801-95f9-9b0021e3e567:1	MCS_Age_11_Teacher_Paper_Questionnaire_Wales	urn:ddi:uk.cls.mcs:1b06e4c0-162b-4c82-84b9-fc52172cb3be:1	38	qi_38	Does this child's class contain mixed year groups?	TICK ONE BOX ONLY	cs_yes_no	1|Yes. 2|No	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:1b5021f2-a846-48ee-8f53-174942776c72:1	SDOD	qi_SDOD	What is [^name of older sibling] like? Please answer the following questions by saying whether each is 'Not true', 'Somewhat true' or 'Certainly true' of [^name of older sibling]. Please click by the number that most describes [^name of older sibling]'s behaviour in the last 6 months. [^name of older sibling] is often unhappy, down-hearted or tearful		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:1c2b3c36-3ce8-47ce-9bd7-b09f462e077f:1	SDLD	qi_SDLD	Still thinking about [^Cohort child's name] How long have these difficulties been present?		Ltam_15m_612m_Oay_Cs	1|Less than a month. 2|1-5 months. 3|6-12 months. 4|Over a year. 5|Can't say	1afa6785-260a-44a4-a95e-7e3bc9c2ea5b	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:1c5cf3aa-3aa7-4d0a-a93b-6bacaa123687:1	SDFS	qi_SDFS	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the last six months. [^Cohort child's name] is constantly fidgeting or squirming		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	08b717f7-1e90-4793-92c3-a1a907da60eb	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:1dd1f74b-a8e9-4670-86ac-cbeb3e7a48ac:1	SDFE	qi_SDFE	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the last six months. [^Cohort child's name] has many fears, easily scared		Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	1afa6785-260a-44a4-a95e-7e3bc9c2ea5b	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:20170423-be44-4850-a75e-5f3066255e84:1	SDDD i	qi_SDDD_i	Do the difficulties upset or distress your child?		cs_Naa_Oal_Qal_Agd_Cs	1|Not at all. 2|Only a little. 3|Quite a lot. 4|A great deal. 5|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:2033d859-45f0-4fd2-832e-5071ffe88684:1	SDFB	qi_SDFB	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the last six |months. [^Cohort child's name] often fights with other children or bullies them		Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	1afa6785-260a-44a4-a95e-7e3bc9c2ea5b	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:83bd0aa6-f365-4801-95f9-9b0021e3e567:1	MCS_Age_11_Teacher_Paper_Questionnaire_Wales	urn:ddi:uk.cls.mcs:215aad6f-4ed9-4c5d-a121-e75016890636:1	27	qi_27	Which set is this child in for English?	TICK ONE BOX ONLY	cs_H_M_L	1|Highest. 2|Middle. 3|Lowest	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:22b59976-0860-466e-9320-2c8aa69eda78:1	SDTE	qi_SDTE	What's your child like? / What are your twins/triplets like? For each item, please press the appropriate number for 'Not True', 'Somewhat True' or 'Certainly True'. It would help us if you answered all items as best you can even if you are not absolutely certain or the item seems daft! Please give your answers on the basis of the child's behaviour over the last six months. Sees tasks through to the end, good attention span		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:23f0406b-79c5-464a-8d22-3ec1e86191e4:1	SDST i	qi_SDST_i	What's your child like? / What are your twins/triplets like? For each item, please press the appropriate number for 'Not True', 'Somewhat True' or 'Certainly True'. It would help us if you answered all items as best you can even if you are not absolutely certain or the item seems daft! Please give your answers on the basis of the child's behaviour over the last six months. Can stop and think things out before acting		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:c2b0c756-a2a6-495f-adbc-3c9b3dcc04b7:1	MCS_Age_11_Teacher_Paper_Questionnaire_England	urn:ddi:uk.cls.mcs:24447704-ba39-4703-982e-d17b8defd272:1	30	qi_30	In this child's year are there sets for science?	TICK ONE BOX ONLY	cs_yes_no	1|Yes. 2|No	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:24f1ab0f-bf95-400f-8bf8-46cc96e72cb6:1	SDVH	qi_SDVH	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the last six months. [^Cohort child's name] often volunteers to help others (parents, teachers, other children)		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	08b717f7-1e90-4793-92c3-a1a907da60eb	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:2500cac4-02e8-40d6-a647-6694997add23:1	SDOA i	qi_SDOA_i	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the last six months. [^Cohort child's name] often lies or cheats		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	08b717f7-1e90-4793-92c3-a1a907da60eb	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:83bd0aa6-f365-4801-95f9-9b0021e3e567:1	MCS_Age_11_Teacher_Paper_Questionnaire_Wales	urn:ddi:uk.cls.mcs:252a226f-9780-4b1e-98f8-e61f50189abd:1	45 a	qi_45_a	In an average week, how many hours a week are spent teaching this child's class... ...English? WRITE IN			Hours in week	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:83bd0aa6-f365-4801-95f9-9b0021e3e567:1	MCS_Age_11_Teacher_Paper_Questionnaire_Wales	urn:ddi:uk.cls.mcs:258b84be-cf48-4063-b3e0-8fb4357291dc:1	32	qi_32	How many sets are there in this child's year for maths? WRITE IN			How many	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:25b9cb9d-b4dd-4955-b81e-2eb1622b3966:1	SDDB i	qi_SDDB_i	Do the difficulties put a burden on you or the family as a whole?		cs_Naa_Oal_Qal_Agd_Cs	1|Not at all. 2|Only a little. 3|Quite a lot. 4|A great deal. 5|Can't say	0321ec8a-27cf-4bd3-8662-f87ced17b35f	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:27854f1d-1bde-41da-b58d-3fad22b6bda6:1	SDLD	qi_SDLD	Still thinking about [^Cohort child's name] How long have these difficulties been present?		cs_Ltam_15m_612_Oay_Cs	1|Less than a month. 2|1-5 months. 3|6-12 months. 4|Over a year. 5|Can't say	08b717f7-1e90-4793-92c3-a1a907da60eb	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:c2b0c756-a2a6-495f-adbc-3c9b3dcc04b7:1	MCS_Age_11_Teacher_Paper_Questionnaire_England	urn:ddi:uk.cls.mcs:29bed048-84a8-4116-9229-93180504c46e:1	44	qi_44	Are you male or female?	TICK ONE BOX ONLY	cs_en_q44	1|Male. 2|Female	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:83bd0aa6-f365-4801-95f9-9b0021e3e567:1	MCS_Age_11_Teacher_Paper_Questionnaire_Wales	urn:ddi:uk.cls.mcs:2a500a60-34cb-4bd9-a411-5d4c4313efb0:1	18 b	qi_18_b	During this school year how often, if at all... ...has this child hurt or picked on other children at school on purpose?	TICK ONE BOX ON EVERY ROW	cs_Md_Aoaw_Aoam_Efm_Lo_N	1|Most days. 2|About once a week. 3|About once a month. 4|Every few months. 5|Less often. 6|Never	a0e1d3de-b3d2-484c-8c31-68fb03bf52b5	uk.closer	104.0	Mental health and mental processes
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:2d7cb28f-a10c-48ec-abf9-2ba6f7e3f77b:1	SDPF	qi_SDPF	Please give your answers on the basis of [^Cohort child's name]'s behaviour over the last six months. [^Cohort child's name] is considerate of other people's feelings		cs_Nt_St_Ct_Cs	1|Not true. 2|Somewhat true. 3|Certainly true. 4|Can't say	08b717f7-1e90-4793-92c3-a1a907da60eb	uk.closer	104.0	Mental health and mental processes
