key_words	Topic
['come', 'express', 'x', 'box', 'thing']	104_mental_health_and_mental_processes
['result', 'time', 'problem', 'feel', 'week']	104_mental_health_and_mental_processes
['stomach', 'headache', 'sickness', 'ache', 'lot']	104_mental_health_and_mental_processes
['help', 'teacher', 'child', 'volunteer', 'parent']	104_mental_health_and_mental_processes
['decision', 'thing', 'feel', 'make']	104_mental_health_and_mental_processes
['bully', 'people', 'child', 'pick']	104_mental_health_and_mental_processes
['want', 'fight', 'people', 'lot']	104_mental_health_and_mental_processes
['share', 'pen', 'game', 'food']	104_mental_health_and_mental_processes
['people', 'care', 'try', 'feeling']	104_mental_health_and_mental_processes
['thing', 'feel', 'play']	104_mental_health_and_mental_processes
['worry', 'sleep', 'lose']	104_mental_health_and_mental_processes
['enjoy', 'activity', 'day']	104_mental_health_and_mental_processes
['feel', 'consider', 'thing']	104_mental_health_and_mental_processes
['overcome', 'feel', 'difficulty']	104_mental_health_and_mental_processes
['situation', 'confidence', 'lose']	104_mental_health_and_mental_processes
['attention', 'finish', 'work']	104_mental_health_and_mental_processes
['find', 'concentrate', 'distract']	104_mental_health_and_mental_processes
['school', 'home', 'thing']	104_mental_health_and_mental_processes
['like', 'people', 'age']	104_mental_health_and_mental_processes
['cheat', 'accuse', 'lie']	104_mental_health_and_mental_processes
['adult', 'people', 'age']	104_mental_health_and_mental_processes
['type', 'problem']	104_mental_health_and_mental_processes
['confidence', 'lose']	104_mental_health_and_mental_processes
['face', 'problem']	104_mental_health_and_mental_processes
['person', 'think']	104_mental_health_and_mental_processes
['week', 'feel']	104_mental_health_and_mental_processes
['feel', 'strain']	104_mental_health_and_mental_processes
['hurt', 'feel']	104_mental_health_and_mental_processes
['worry', 'lot']	104_mental_health_and_mental_processes
['squirm', 'fidget']	104_mental_health_and_mental_processes
['temper', 'lose']	104_mental_health_and_mental_processes
['think', 'thing']	104_mental_health_and_mental_processes
['spend', 'minute', 'time', 'activity', 'day']	106_health_behaviour
['minute', 'time', 'walk', 'think', 'day']	106_health_behaviour
['include', 'tin', 'eat', 'week', 'day']	106_health_behaviour
['spend', 'minute', 'day', 'week', 'walk']	106_health_behaviour
['food', 'household', 'think', 'eat', 'week']	106_health_behaviour
['time', 'household', 'think', 'eat', 'week']	106_health_behaviour
['hour', 'activity', 'total', 'week', 'day']	106_health_behaviour
['e', 'cigarette', 'include', 'smoke', '-']	106_health_behaviour
['access', 'afford', 'household', 'meal', 'week']	106_health_behaviour
['contain', 'drink', 'alcohol', 'think', 'week']	106_health_behaviour
['activity', 'effort', 'dig', 'week', 'day']	106_health_behaviour
['beer', 'glass', 'measure', 'mean', 'week']	106_health_behaviour
['cigarette', 'include', 'roll', 'smoke', 'day']	106_health_behaviour
['morning', 'day', 'time', 'wake', 'school']	106_health_behaviour
['bed', 'habit', 'number', 'question', 'day']	106_health_behaviour
['portion', 'potato', 'include', 'eat', 'day']	106_health_behaviour
['apple', 'orange', 'fruit', 'eat', 'day']	106_health_behaviour
['breakfast', 'eat', 'question', 'week', 'day']	106_health_behaviour
['milk', 'type', 'use', 'tell']	106_health_behaviour
['e', 'cigarette', '-', 'use']	106_health_behaviour
['night', 'time', 'sleep', 'school']	106_health_behaviour
['bread', 'type', 'eat']	106_health_behaviour
['drink', 'week', 'take']	106_health_behaviour
['sleep', 'wake', 'trouble']	106_health_behaviour
['month', 'sleep']	106_health_behaviour
['drink', 'day']	106_health_behaviour
['minute', 'walk']	106_health_behaviour
['sport', 'play']	106_health_behaviour
['live', 'people', 'household', 'think', 'count']	107_family_and_social_networks
['friend', 'live', 'support', 'think', 'family']	107_family_and_social_networks
['age', 'household', 'think', 'start', 'relation']	107_family_and_social_networks
['include', 'live', 'people', 'household', 'arrangement']	107_family_and_social_networks
['last', 'include', 'wife', 'cohabitation', 'husband']	107_family_and_social_networks
['activity', 'include', 'box', 'involve', 'thing']	107_family_and_social_networks
['outbreak', 'coronavirus', 'stay', 'child[ren', 'think']	107_family_and_social_networks
['explain', 'number', 'follow', 'child', 'thing']	107_family_and_social_networks
['spend', 'look', 'hour', 'think', 'week']	107_family_and_social_networks
['shut', 'holiday', 'summer', 'lockdown', 'school']	107_family_and_social_networks
['home', 'hour', 'schooling', 'childcare', 'week']	107_family_and_social_networks
['enrol', 'age', 'live', 'child', 'parent']	107_family_and_social_networks
['activity', 'afford', 'answer', 'question', 'child']	107_family_and_social_networks
['date', 'know', 'answer', 'birth', 'child']	107_family_and_social_networks
['consider', 'relationship', 'degree', 'happiness', 'thing']	107_family_and_social_networks
['cooking', 'housework', 'clean', 'laundry', 'week']	107_family_and_social_networks
['care', 'responsibility', 'share', 'household', 'member']	107_family_and_social_networks
['nature', 'disability', 'tell', 'illness', 'condition']	107_family_and_social_networks
['care', 'carer', 'centre', 'support', 'think']	107_family_and_social_networks
['help', 'People', 'look', 'live', 'people']	107_family_and_social_networks
['friend', 'live', 'wife', 'example', 'husband']	107_family_and_social_networks
['child', 'include', 'father', 'live', 'interview']	107_family_and_social_networks
['time', 'take', 'child[ren', 'think', 'door']	107_family_and_social_networks
['outbreak', 'coronavirus', 'child[ren', 'live', 'household']	107_family_and_social_networks
['change', 'home', 'relationship', 'child[ren', 'policy']	107_family_and_social_networks
['People', 'friend', 'family', 'household', 'member']	107_family_and_social_networks
['friend', 'live', 'video', 'family', 'phone']	107_family_and_social_networks
['quarrel', 'month', 'time', 'child', 'parent']	107_family_and_social_networks
['chat', 'live', 'example', 'messaging', 'family']	107_family_and_social_networks
['friend', 'meet', 'person', 'live', 'family']	107_family_and_social_networks
['chat', '-', 'app', 'family', 'week']	107_family_and_social_networks
['child', 'matter', 'thing', 'vary', 'parent']	107_family_and_social_networks
['consider', 'relationship', 'divorce', 'separation', 'terminate']	107_family_and_social_networks
['letter', 'contact', 'email', 'telephone', 'daughter']	107_family_and_social_networks
['month', 'partner', 'stop', 'live', 'couple']	107_family_and_social_networks
['age', 'child', 'contact', 'live', 'daughter']	107_family_and_social_networks
['son', 'life', 'think', 'daughter', 'door']	107_family_and_social_networks
['app', 'video', 'website', 'medium', 'image']	107_family_and_social_networks
['caring', 'partner', 'housework', 'way', 'day']	107_family_and_social_networks
['coronavirus', 'support', 'think', 'child', 'week']	107_family_and_social_networks
['contact', 'child[ren', 'think', 'visit', 'week']	107_family_and_social_networks
['shopping', 'household', 'follow', 'grocery', 'day']	107_family_and_social_networks
['decision', 'education', 'health', 'child[ren', 'life']	107_family_and_social_networks
['night', 'stay', 'think', 'child', 'week']	107_family_and_social_networks
['type', 'care', 'hour', 'receive', 'week']	107_family_and_social_networks
['spend', 'look', 'hour', 'week', 'thing']	107_family_and_social_networks
['describe', 'day', 'relationship', 'child[ren', 'parent']	107_family_and_social_networks
['access', 'internet', 'household', 'home']	107_family_and_social_networks
['nerve', 'partner', 'week', 'think']	107_family_and_social_networks
['relative', 'need', 'visit', 'family']	107_family_and_social_networks
['outbreak', 'coronavirus', 'contact', 'think']	107_family_and_social_networks
['help', 'kind', 'receive']	107_family_and_social_networks
['live', 'child', 'age']	107_family_and_social_networks
['live', 'child', 'second']	107_family_and_social_networks
['interview', 'change', 'status']	107_family_and_social_networks
['marry', 'live', 'regret']	107_family_and_social_networks
['child[ren', 'day', 'relationship']	107_family_and_social_networks
['device', 'video', 'week']	107_family_and_social_networks
['live', 'household', 'parent']	107_family_and_social_networks
['day', 'child', 'look']	107_family_and_social_networks
['child[ren', 'month', 'nerve']	107_family_and_social_networks
['trip', 'child', 'school']	107_family_and_social_networks
['spouse', 'partner', 'go']	107_family_and_social_networks
['month', 'year', 'couple']	107_family_and_social_networks
['look', 'grandchild[ren', 'think']	107_family_and_social_networks
['type', 'use', 'smartphone']	107_family_and_social_networks
['outbreak', 'coronavirus', 'live']	107_family_and_social_networks
['live', 'eat', 'meal']	107_family_and_social_networks
['iron', 'washing', 'day']	107_family_and_social_networks
['apply', 'cross', 'look']	107_family_and_social_networks
['stream', 'internet', 'use']	107_family_and_social_networks
['support', 'pay', 'child']	107_family_and_social_networks
['child', 'receive', 'support']	107_family_and_social_networks
['partner', 'live']	107_family_and_social_networks
['internet', 'use']	107_family_and_social_networks
['device', 'week']	107_family_and_social_networks
['help', 'household']	107_family_and_social_networks
['change', 'status']	107_family_and_social_networks
['live', 'age']	107_family_and_social_networks
['friend', 'day']	107_family_and_social_networks
['quarrel', 'partner']	107_family_and_social_networks
['help', 'homework']	107_family_and_social_networks
['child', 'think']	107_family_and_social_networks
['leisure', 'child']	107_family_and_social_networks
['child', 'step']	107_family_and_social_networks
['day', 'cooking']	107_family_and_social_networks
['live', 'think']	107_family_and_social_networks
['job', 'day']	107_family_and_social_networks
['gardening', 'day']	107_family_and_social_networks
['day', 'cleaning']	107_family_and_social_networks
['following', 'week']	107_family_and_social_networks
['feel', 'people']	107_family_and_social_networks
['month', 'partner']	107_family_and_social_networks
['month', 'education', 'time', 'period', 'tell']	108_education
['attend', 'autumn', 'term', 'start', 'school']	108_education
['attend', 'concern', 'following', 'relation', 'school']	108_education
['need', 'feel', 'work', 'following', 'school']	108_education
['homework', 'spend', 'hour', 'time', 'term']	108_education
['offer', 'session', 'college', 'attend', 'school']	108_education
['hour', 'day', 'attend', 'half', 'school']	108_education
['course', 'day', 'include', 'government', 'evening']	108_education
['education', 'pay', 'time', 'leave', 'job']	108_education
['education', 'holiday', 'interview', 'count', 'school']	108_education
['home', 'work', 'school', 'think', 'provide']	108_education
['help', 'spend', 'time', 'family', 'member']	108_education
['line', 'lesson', 'video', 'assignment', 'school']	108_education
['book', 'exercise', 'app', 'website', 'learn']	108_education
['provide', 'live', 'lesson', 'meeting', 'school']	108_education
['college', 'age', 'school', 'child', 'parent']	108_education
['home', 'time', 'work', 'think', 'school']	108_education
['information', 'use', 'tell', 'child', 'school']	108_education
['laptop', 'need', 'computer', 'work', 'school']	108_education
['invite', 'day', 'attend', 'week', 'school']	108_education
['disability', 'need', 'health', 'problem', 'consider']	108_education
['check', 'teacher', 'work', 'upload', 'school']	108_education
['education', 'end', 'time', 'period']	108_education
['education', 'qualification', 'time', 'gain']	108_education
['tell', 'information', 'use', 'school']	108_education
['state', 'pay', 'fee', 'school']	108_education
['laptop', 'work', 'tablet', 'computer']	108_education
['attend', 'feel', 'following', 'school']	108_education
['education', 'time', 'period']	108_education
['invite', 'attend', 'school']	108_education
['homework', 'set', 'school']	108_education
['child', 'check', 'attend']	108_education
['help', 'homework', 'home']	108_education
['school', 'detail', 'report']	108_education
['attend', 'feel', 'school']	108_education
['home', 'work', 'school']	108_education
['school', 'week', 'day']	108_education
['authority', 'plan', 'support']	108_education
['person', 'attend', 'school']	108_education
['attend', 'college', 'school']	108_education
['school', 'leave']	108_education
['detail', 'report']	108_education
['time', 'school']	108_education
['child', 'school']	108_education
['offer', 'school']	108_education
['employment', 'pay', 'earning', 'self', 'include']	109_employment_and_income
['hour', 'work', 'tell', 'suggest', 'answer']	109_employment_and_income
['earning', 'moment', 'include', 'household', 'think']	109_employment_and_income
['employ', 'pay', 'self', 'think', 'week']	109_employment_and_income
['employment', 'hour', 'include', 'activity', 'week']	109_employment_and_income
['earning', 'tell', 'share', 'job', 'provide']	109_employment_and_income
['income', 'receive', 'expect', 'benefit', 'retire']	109_employment_and_income
['help', 'good', 'house', 'example', 'grocery']	109_employment_and_income
['month', 'payment', 'know', 'like', 'receive']	109_employment_and_income
['pay', 'home', 'time', 'schooling', 'childcare']	109_employment_and_income
['case', 'furlough', 'survey', 'say', 'note']	109_employment_and_income
['look', 'work', 'government', 'training', 'week']	109_employment_and_income
['pay', 'credit', 'card', 'ask', 'bill']	109_employment_and_income
['describe', 'sort', 'title', 'job', 'provide']	109_employment_and_income
['time', 'feel', 'think', 'job', 'week']	109_employment_and_income
['earn', 'job', 'pence', 'number', 'week']	109_employment_and_income
['employ', 'self', 'receive', 'support', 'government']	109_employment_and_income
['product', 'payment', 'credit', 'holiday', 'mortgage']	109_employment_and_income
['sector', 'worker', 'situation', 'coronavirus', 'work']	109_employment_and_income
['month', 'like', 'come', 'think', 'happen']	109_employment_and_income
['holiday', 'mortgage', 'tell', 'apply', 'status']	109_employment_and_income
['ask', 'mortgage', 'people', 'find', 'housing']	109_employment_and_income
['food', 'household', 'service', 'week', 'bank']	109_employment_and_income
['month', 'donation', 'receipt', 'indicate', 'follow']	109_employment_and_income
['employment', 'coronavirus', 'time', 'work', 'think']	109_employment_and_income
['bill', 'example', 'account', 'build', 'bank']	109_employment_and_income
['application', 'claim', 'apply', 'say', 'outcome']	109_employment_and_income
['employer', 'work', 'tell', 'start', 'job']	109_employment_and_income
['confirm', 'employer', 'furlough', 'receive', 'email']	109_employment_and_income
['expense', 'bill', 'think', 'difficulty', 'scale']	109_employment_and_income
['earning', 'industry', 'tell', 'share', 'provide']	109_employment_and_income
['retirement', 'tell', 'income', 'expect', 'compare']	109_employment_and_income
['spend', 'hour', 'work', 'week', 'organisation']	109_employment_and_income
['pay', 'work', 'period', 'follow', 'job']	109_employment_and_income
['month', 'pay', 'work', 'think', 'begin']	109_employment_and_income
['look', 'retirement', 'income', 'future', 'expect']	109_employment_and_income
['hour', 'job', 'time', 'work', 'week']	109_employment_and_income
['pay', 'hour', 'work', 'job', 'week']	109_employment_and_income
['charity', 'type', 'organisation', 'give', 'volunteer']	109_employment_and_income
['check', 'ff_bentype01', 'receive', 'accord', 'record']	109_employment_and_income
['working', 'need', 'follow', 'arrangement', 'workplace']	109_employment_and_income
['home', 'like', 'measure', 'workplace', 'distancing']	109_employment_and_income
['employ', 'self', 'tell', 'support', 'government']	109_employment_and_income
['hour', 'work', 'think', 'compare', 'day']	109_employment_and_income
['-', 'start', 'example', 'basis', 'vary']	109_employment_and_income
['describe', 'consider', 'number', 'job', 'thing']	109_employment_and_income
['property', 'owner', 'take', 'mortgage', 'house']	109_employment_and_income
['scheme', 'describe', 'employer', 'card', 'statement']	109_employment_and_income
['food', 'household', 'think', 'service', 'bank']	109_employment_and_income
['education', 'future', 'connect', 'training', 'week']	109_employment_and_income
['credit', 'card', 'include', 'mortgage', 'loan']	109_employment_and_income
['behaviour', 'adult', 'time', 'consider', 'income']	109_employment_and_income
['education', 'credit', 'qualification', 'lead', 'training']	109_employment_and_income
['earning', 'activity', 'include', 'selfemployment', 'job']	109_employment_and_income
['change', 'date', 'employer', 'include', 'grade']	109_employment_and_income
['type', 'payment', 'credit', 'end', 'holiday[s']	109_employment_and_income
['month', 'pound', 'follow', 'benefit', 'total']	109_employment_and_income
['education', 'hour', 'time', 'include', 'training']	109_employment_and_income
['earn', 'following', 'household', 'deal']	109_employment_and_income
['coronavirus', 'get', 'reason', 'day']	109_employment_and_income
['mortgage', 'ask', 'holiday', 'bank']	109_employment_and_income
['hour', 'take', 'think', 'day']	109_employment_and_income
['job', 'month', 'end', 'date']	109_employment_and_income
['pay', 'interview', 'time', 'work']	109_employment_and_income
['job', 'end', 'date', 'day']	109_employment_and_income
['enter', 'date', 'stop', 'day']	109_employment_and_income
['job', 'end', 'date', 'year']	109_employment_and_income
['industry', 'type', 'job', 'look']	109_employment_and_income
['save', 'pound', 'week', 'manage']	109_employment_and_income
['find', 'take', 'step', 'work']	109_employment_and_income
['debt', 'pound', 'change', 'week']	109_employment_and_income
['employee', 'duty', 'job', 'supervise']	109_employment_and_income
['month', 'year', 'check', 'retire']	109_employment_and_income
['employ', 'place', 'people', 'work']	109_employment_and_income
['education', 'training', 'skill', 'improve']	109_employment_and_income
['apply', 'following', 'furlough', 'tell']	109_employment_and_income
['industry', 'year', 'start', 'work']	109_employment_and_income
['year', 'mortgage', 'start', 'overpayment']	109_employment_and_income
['month', 'role', 'start', 'work']	109_employment_and_income
['industry', 'month', 'start', 'work']	109_employment_and_income
['week', 'work', 'home']	109_employment_and_income
['employee', 'duty', 'supervise']	109_employment_and_income
['month', 'think', 'look']	109_employment_and_income
['payment', 'spend', 'indicate']	109_employment_and_income
['scale', 'month', 'think']	109_employment_and_income
['reduction', 'rent', 'holiday']	109_employment_and_income
['year', 'date', 'stop']	109_employment_and_income
['employ', 'job', 'self']	109_employment_and_income
['workplace', 'job', 'work']	109_employment_and_income
['money', 'describe', 'follow']	109_employment_and_income
['pay', 'week', 'work']	109_employment_and_income
['month', 'date', 'stop']	109_employment_and_income
['benefit', 'receive', 'follow']	109_employment_and_income
['charity', 'money', 'organisation']	109_employment_and_income
['scale', 'mean', 'job']	109_employment_and_income
['pay', 'people', 'negotiate']	109_employment_and_income
['industry', 'start', 'work']	109_employment_and_income
['employer', 'start', 'work']	109_employment_and_income
['aim', 'education', 'training']	109_employment_and_income
['role', 'start', 'work']	109_employment_and_income
['advance', 'year', 'receive']	109_employment_and_income
['pound', 'total', 'owe']	109_employment_and_income
['money', 'week', 'owe']	109_employment_and_income
['meal', 'receive', 'school']	109_employment_and_income
['voucher', 'receive', 'meal']	109_employment_and_income
['complete', 'time', 'survey']	109_employment_and_income
['help', 'receive']	109_employment_and_income
['work', 'home']	109_employment_and_income
['manage', 'day']	109_employment_and_income
['interview', 'time']	109_employment_and_income
['employer', 'work']	109_employment_and_income
['job', 'work']	109_employment_and_income
['end', 'period']	109_employment_and_income
['way', 'work']	109_employment_and_income
['change', 'receive']	109_employment_and_income
['work', 'influence']	109_employment_and_income
['scheme', 'join']	109_employment_and_income
['time', 'day']	109_employment_and_income
['scheme', 'contribute']	109_employment_and_income
['task', 'influence']	109_employment_and_income
['month', 'time']	109_employment_and_income
['hour', 'work']	109_employment_and_income
['pay', 'include']	109_employment_and_income
['income', 'household']	109_employment_and_income
['event', 'know', 'let', 'follow', 'happen']	110_expectations,_attitudes_and_beliefs
['follow', 'want', 'occupation', 'think', 'find']	110_expectations,_attitudes_and_beliefs
['age', 'like', 'start', 'family', 'child']	110_expectations,_attitudes_and_beliefs
['life', 'future', 'think', 'space', 'provide']	110_expectations,_attitudes_and_beliefs
['aspect', 'decide', 'follow', 'job', 'thing']	110_expectations,_attitudes_and_beliefs
['follow', 'have', 'occupation', 'think', 'job']	110_expectations,_attitudes_and_beliefs
['live', 'people', 'scale', 'mean', 'way']	110_expectations,_attitudes_and_beliefs
['allow', 'people', 'come', 'live', 'think']	110_expectations,_attitudes_and_beliefs
['contract', 'month', 'covid-19', 'view']	110_expectations,_attitudes_and_beliefs
['like', 'age', 'home', 'leave']	110_expectations,_attitudes_and_beliefs
['want', 'write', 'age', 'marry']	110_expectations,_attitudes_and_beliefs
['electricity', 'consider', 'instal']	110_expectations,_attitudes_and_beliefs
['week', 'service', 'meeting']	110_expectations,_attitudes_and_beliefs
['covid-19', 'view']	110_expectations,_attitudes_and_beliefs
['child', 'think']	110_expectations,_attitudes_and_beliefs
['maternity', 'period', 'leave', 'paternity', 'day']	111_child_development
['unit', 'stop', 'code', 'breastfeed', 'child']	111_child_development
['date', 'born', 'expect', 'child', 'week']	111_child_development
['night', 'sleep', 'process', 'child', 'settle']	111_child_development
['hour', 'cry', 'period', 'fuss', 'child']	111_child_development
['sentence', 'response', 'word', 'child', 'thing']	111_child_development
['nursery', 'playgroup', 'group', 'child', 'week']	111_child_development
['response', 'assistance', 'child', 'thing']	111_child_development
['paternity', 'leave', 'period', 'maternity']	111_child_development
['night', 'child', 'time', 'wake']	111_child_development
['response', 'game', 'child', 'thing']	111_child_development
['call', 'response', 'child', 'thing']	111_child_development
['response', 'child', 'thing']	111_child_development
['born', 'child', 'weigh']	111_child_development
['breastfeed', 'child', 'time']	111_child_development
['record', 'lbs', 'birthweight']	111_child_development
['response', 'thing', 'child']	111_child_development
['breastfeed', 'child', 'stop']	111_child_development
['child', 'weigh', 'kg']	111_child_development
['record', 'birthweight']	111_child_development
['born', 'child']	111_child_development
['child', 'week']	111_child_development
['breastfeed', 'stop']	111_child_development
['time', 'child']	111_child_development
['year', 'ask', 'life', 'happen', 'question']	112_life_events
['month', 'cigarette', 'pregnancy', 'smoke', 'day']	114_pregnancy
['card', 'tell', 'pregnancy', 'end', 'number']	114_pregnancy
['delivery', 'pregnancy', 'birth', 'interview', 'section']	114_pregnancy
['treatment', 'receive', 'form', 'fertility']	114_pregnancy
['pregnancy', 'triplet', 'twin', 'birth']	114_pregnancy
['unit', 'drink', 'alcohol', 'day']	114_pregnancy
['pregnancy', 'drink', 'alcohol', 'describe']	114_pregnancy
['supplement', 'take', 'acid', 'folic']	114_pregnancy
['pregnancy', 'smoke', 'include']	114_pregnancy
['pregnancy', 'month', 'smoke']	114_pregnancy
['treatment', 'receive', 'fertilisation']	114_pregnancy
['month', 'year']	114_pregnancy
['result', 'birth']	114_pregnancy
['unit', 'drink']	114_pregnancy
['pregnancy', 'interview']	114_pregnancy
['card', 'affect', 'gift', 'account', 'thank']	115_administration
['address', 'allow', 'arrive', 'email', 'hardcopy']	115_administration
['add', 'information', 'leaflet', 'purpose', 'answer']	115_administration
['confirm', 'like', 'detail', 'give', 'interview']	115_administration
['complete', 'completion', 'self', 'respondent', 'unable']	115_administration
['person', 'accompany', 'act', 'interview', 'language']	115_administration
['permission', 'answer', 'record', 'give', 'add']	115_administration
['survey', 'like', 'invitation', 'receive', 'email']	115_administration
['survey', 'like', 'invitation', 'receive', 'number']	115_administration
['find', 'example', 'version', 'separate', 'smartphone']	115_administration
['come', 'answer', 'let', 'question', 'interview']	115_administration
['enter', 'contact', 'ENTER', 'number', 'telephone']	115_administration
['grid', 'number', 'household', 'answer', 'record']	115_administration
['household', 'record', 'member', 'child', 'baby']	115_administration
['change', 'contact', 'like', 'thank', 'thing']	115_administration
['check', 'boy', 'girl', 'birth', 'child']	115_administration
['CONTACT', 'enter', 'ENTER', 'number', 'telephone']	115_administration
['e', 'address', 'contact', '-', 'mail']	115_administration
['send', 'kit', 'post', 'testing', 'antibody']	115_administration
['move', 'know', 'detail', 'find', 'ff_ctrel']	115_administration
['amend', 'check', 'eg', 'capital', 'parent']	115_administration
['month', 'live', 'start', 'people', 'household']	115_administration
['year', 'conduct', 'INTERVIEW', 'household', 'interviewed']	115_administration
['respondent', 'speak', 'translate', 'household', 'question']	115_administration
['k', 'enter', 'address', 'know', 'number']	115_administration
['education', 'form', 'number', 'transfer', 'add']	115_administration
['check', 'time', 'address', 'live', 'interview']	115_administration
['address', 'contact', 'let', 'order', 'way']	115_administration
['enter', 'address', 'code', 'know', 'k.']	115_administration
['change', 'ask', 'happen', 'question', 'interview']	115_administration
['enter', 'address', 'know', 'town', 'k.']	115_administration
['form', 'health', 'information', 'like', 'add']	115_administration
['date', 'consent', 'E', 'signed', 'show']	115_administration
['month', 'remember', 'survey', 'reward', 'covid-19']	115_administration
['complete', 'like', 'survey', 'hoffech']	115_administration
['town', 'city', 'address', 'tell']	115_administration
['PEOPLE', 'give', 'answer', 'influence']	115_administration
['e', '-', 'address', 'mail']	115_administration
['know', 'enter', 'address', 'postcode']	115_administration
['PROXY', 'INFORMANT', 'household', 'code']	115_administration
['confirm', 'like', 'detail', 'record']	115_administration
['hold', 'address', 'email', 'provide']	115_administration
['need', 'born', 'interview', 'person']	115_administration
['refused', 'self', 'reason', 'r']	115_administration
['e', '-', 'telephone', 'mail']	115_administration
['questionnaire', 'record', 'conduct', 'language']	115_administration
['like', 'information', 'permission', 'data']	115_administration
['release', 'live', 'come', 'household']	115_administration
['hear', 'month', 'happen', 'prison']	115_administration
['dob', 'date', 'household', 'birth']	115_administration
['date', 'sex', 'address', 'birth']	115_administration
['enter', 'line', 'address']	115_administration
['enter', 'street', 'number']	115_administration
['visit', 'people', 'nurse']	115_administration
['number', 'address', 'tell']	115_administration
['street', 'address', 'tell']	115_administration
['county', 'address', 'tell']	115_administration
['study', 'take', 'past']	115_administration
['landline', 'number', 'home']	115_administration
['fill', 'tube', 'include']	115_administration
['welsh', 'punjabi', 'language']	115_administration
['respondent', 'complete', 'study']	115_administration
['contact', 'type', 'detail']	115_administration
['number', 'work', 'phone']	115_administration
['understanding', 'question', 'describe']	115_administration
['respondent', 'child', 'biological']	115_administration
['enter', 'number', 'telephone']	115_administration
['contact', 'enter', 'email']	115_administration
['contact', 'number', 'telephone']	115_administration
['area', 'village', 'probe']	115_administration
['you/', 'interview', 'language']	115_administration
['return', 'laptop', 'thank']	115_administration
['enter', 'interview', 'date']	115_administration
['address', 'live', 'school']	115_administration
['nhscr', 'outcome', 'flag']	115_administration
['know', 'enter', 'k.']	115_administration
['question', 'answer', 'computer']	115_administration
